# constriction site width [nm] vs time [ns]
5AFI    9.95696
3J7Z   10.53553
3J9Y    9.95696
3J9Z    9.78033
3JA1    9.78891
3JBU   10.91846
3JCD    9.08777
3JCE    9.26230
3JCJ    8.36132
4U1U   10.62341
4U1V   10.75864
4U20   10.35056
4U24   10.43311
4U26   10.78088
4U27   10.42655
4UY8    7.42038
4V4H    5.96116
4V4Q    5.87874
4V5B    3.93436
4V6C    9.49768
4V6D    9.70144
4V6E    9.88591
4V7S    9.51700
4V7T   10.00151
4V7U   10.00149
4V7V   10.14959
4V9C    8.67859
4V9D   10.41558
4V9O   10.53481
4V9P    9.92430
4V50   10.85439
4V52   10.35358
4V53   10.23364
4V54    9.78921
4V55   10.19874
4V56   10.15568
4V57   11.08571
4V64   10.50433
4V85   10.36959
4V89   10.13955
4WF1   10.13027
4WOI   10.51058
4WWW    9.48137
4YBB   10.21984
5GAD    9.09374
5GAE    9.86315
5GAG    8.93359
5GAH    9.09317
5IQR    9.92173
5IT8   10.33018
5J5B   10.30860
5J7L   10.11773
5J8A   10.23926
5J88    9.73208
5J91   10.30766
5JC9   10.25038
5JTE   10.36519
5JU8   10.43948
5KCS   10.53586
5KPS    7.56603
5KPW    8.59079
5KPX    4.64489
5L3P   10.70234
5LZD    9.28190
5LZE    9.69911
5MDV   10.70011
5MDW   10.95044
5MDY   10.70749
5MDZ   10.64069
5MGP    9.07854
5NP6   10.06662
5NWY   10.74857
5O2R   10.93870
5U4I    9.49726
5U9F   10.64000
5U9G    9.02260
5UYK    8.79801
5UYL    9.19741
5UYM    8.97108
5UYN   10.65939
5UYP    9.65058
5UYQ    9.78149
5WDT    9.71026
5WE4   10.54412
5WE6   10.31282
5WF0    7.92606
5WFK   10.38800
5WFS    9.86675
6BU8    8.00173
6BY1    6.63726
6C4I   10.34513
6DNC    9.56804
6ENF    9.81278
6ENJ    9.48133
6ENU   10.31319
6GBZ    7.18910
6GC0    9.24646
6GC8    8.58119
6GWT    9.24095
6GXM    9.24799
6GXN    9.35462
6GXO    9.12395
6H4N    9.65461
6HRM   11.30427
6I0Y    8.66123
6LKQ   10.50741
6O9J    5.87852
6O9K    8.54858
6OFX   10.29646
6OG7    9.72620
6OGF    9.10950
6OGI   10.86886
6OM6   10.81308
6ORE   10.62074
6ORL   10.47851
6OSK   10.00690
6OSQ   10.04633
6OT3   10.82303
6OUO   10.82319
6Q9A    9.71956
6Q97    7.78031
6QDW   11.06630
6S0K   10.08218
6TBV   10.60072
6TC3   10.31407
6VWL    8.58377
6VWM    7.97269
6VWN    8.03604
6WD0    7.98636
6WD1    8.19237
6WD2    9.71330
6WD3    9.62319
6WD4    8.43876
6WD5    8.92108
6WD6   10.11643
6WD7    9.40177
6WD8    9.44536
6WD9    6.09393
6WDA    8.48378
6WDD   10.11602
6WDE    9.86537
6WDF    9.19067
6WDG    9.08367
6WDJ    8.64602
6WDK   10.32988
6WDL    9.85602
6WDM   10.20928
6WNT    5.01347
6WNV    5.67591
6WNW   10.70508
6Y69    9.64026
6YS3   11.06631
6YSR   10.57407
6ZTJ    7.21358
6ZTL    9.43982
6ZTM    9.40546
6ZTN   10.13275
6ZTO   10.34234
6ZTP   10.34234
6ZU1   10.34234
7ABZ   10.20374
7AC7    9.71388
7ACJ    9.76822
7ACR   11.53140
7B5K    7.08408
7BL2    6.33011
7BL3    8.97764
7BL5    6.91757
7CPJ   10.91998
7D6Z   10.74572
7JSS   10.28801
7JSW    7.75795
7JSZ    7.99400
7JT1    8.22725
7JT2    9.06775
7JT3    9.61441
7K50    9.55226
7K51   10.01075
7K52   10.24347
7K53   10.27602
7K54    8.06571
7K55    8.13908
7LV0    8.14512
7N1P    9.87648
7N2C    9.79869
7N2U   10.09963
7N2V   10.98654
7N30   11.27906
7N31    9.23273
7NBU    9.40533
7NSO   11.04978
7NSP   10.07659
7NSQ   11.25016
7NWW    8.68407
7O1A    9.86508
7O1C    9.95157
7O19    7.12889
7OIF   10.88764
7OIG    8.50693
7OII   11.54105
7OIZ    9.75227
7OJ0    8.77146
7OT5   10.82076
7OTC   10.91973
7P3K    9.77120
7PJS   11.79535
7PJV   10.27758
7PJY   10.08592
7QG8   10.74858
7QGN   10.74858
7SA4   11.24461
7SS9    7.19361
7SSD   10.15898
7SSL    8.18940
7SSN    9.60923
7SSO    9.86612
7SSW    8.74905
7ST2    9.56897
7ST6    8.73519
7ST7   10.11584
7TOS   10.70545
7UG7   10.25099
